gene_identifier	baseMean	log2FoldChange	lfcSE	stat	p-value	p-value adjusted
MSTRG.26112	860.8253	0.1538	0.1424	12.9441	4.7591E-03	9.9146E-03
MSTRG.20248	20.5135	-1.9228	0.5957	12.7114	5.3042E-03	1.0968E-02
MSTRG.208	25.4379	-1.2900	0.4011	12.7035	5.3236E-03	1.1006E-02
MSTRG.15523	3.1205	2.7213	1.7529	12.6916	5.3533E-03	1.1062E-02
MSTRG.2331	44.9974	-1.5568	0.6753	12.6502	5.4575E-03	1.1252E-02
MSTRG.18588	8195.5943	-0.7243	0.2067	12.5213	5.7950E-03	1.1887E-02
MSTRG.6880	33090.7936	0.3076	0.1121	12.4057	6.1151E-03	1.2479E-02
MSTRG.25216	17.1650	5.5517	2.7863	12.3630	6.2377E-03	1.2707E-02
MSTRG.26684	45.2566	0.0313	0.3045	12.3546	6.2622E-03	1.2749E-02
MSTRG.15682	506.0200	-0.2075	0.1976	12.3258	6.3464E-03	1.2897E-02
MSTRG.24295	295.8835	0.3999	0.3081	12.1879	6.7663E-03	1.3687E-02
MSTRG.26705	647.2772	0.5334	0.1826	11.8336	7.9754E-03	1.5920E-02
MSTRG.14688	44.2909	0.6206	0.4520	11.8108	8.0602E-03	1.6075E-02
MSTRG.2387	189.0941	0.1505	0.1718	11.6784	8.5700E-03	1.6994E-02
MSTRG.307	2.4797	0.4629	1.7526	11.5944	8.9100E-03	1.7627E-02
MSTRG.14962	295.5667	0.3807	0.1718	11.5778	8.9788E-03	1.7747E-02
MSTRG.18090	142.6542	0.6923	0.2465	11.2558	1.0420E-02	2.0334E-02
MSTRG.27039	524.8460	0.1764	0.1444	11.2451	1.0472E-02	2.0433E-02
MSTRG.43	174.3123	-0.4378	0.2402	11.2408	1.0492E-02	2.0467E-02
MSTRG.221	26.4463	1.2477	0.5439	11.1083	1.1154E-02	2.1628E-02
MSTRG.11594	14.5951	1.7764	0.6285	11.0857	1.1271E-02	2.1828E-02
MSTRG.9	7.3411	2.6454	0.9954	10.9414	1.2047E-02	2.3183E-02
MSTRG.14640	1552.8223	-0.6842	0.2561	10.9078	1.2235E-02	2.3514E-02
MSTRG.65	1.7632	-0.1055	2.6643	10.8894	1.2339E-02	2.3701E-02
MSTRG.483	296.9676	-0.4732	0.1915	10.7013	1.3456E-02	2.5653E-02
MSTRG.15282	2567.7103	0.2339	0.1240	10.6489	1.3784E-02	2.6231E-02
MSTRG.3059	2104.1021	0.6257	0.1968	10.5708	1.4288E-02	2.7086E-02
MSTRG.12642	415.1392	0.3811	0.2000	10.4460	1.5131E-02	2.8556E-02
MSTRG.27590	14.8452	-1.5833	0.5358	10.2572	1.6502E-02	3.0896E-02
MSTRG.290	6.3837	-3.2359	1.1685	10.2365	1.6659E-02	3.1152E-02
MSTRG.20817	149.8937	0.5183	0.1957	10.1121	1.7637E-02	3.2819E-02
MSTRG.306	7.5851	-0.8798	1.1427	10.0827	1.7876E-02	3.3218E-02
MSTRG.20467	14089.5246	-0.3522	0.1699	10.0545	1.8109E-02	3.3609E-02
MSTRG.177	72.8048	0.9026	0.4962	9.9667	1.8851E-02	3.4846E-02
MSTRG.26961	147.0548	0.9815	0.3311	9.8597	1.9797E-02	3.6439E-02
MSTRG.6679	331.1343	-0.5601	0.2086	9.8092	2.0259E-02	3.7196E-02
MSTRG.24325	193.6335	-0.2028	0.1874	9.6937	2.1357E-02	3.8963E-02
MSTRG.16448	163.8749	1.0247	0.3413	9.6733	2.1557E-02	3.9281E-02
MSTRG.27704	394.4796	0.3042	0.1324	9.6609	2.1680E-02	3.9472E-02
MSTRG.25039	117.5499	0.1701	0.2512	9.5690	2.2609E-02	4.0998E-02
MSTRG.2177	37.2637	-0.2121	0.5895	9.4149	2.4254E-02	4.3702E-02
MSTRG.454	14.7269	1.9861	0.6601	9.3216	2.5307E-02	4.5409E-02
MSTRG.173	82.2971	-0.1219	0.3601	9.2222	2.6478E-02	4.7288E-02
MSTRG.68	2.7177	4.5697	1.6124	9.0092	2.9169E-02	5.1616E-02
MSTRG.10	58.8229	10.2580	4.2474	8.9012	3.0634E-02	5.3942E-02
MSTRG.26693	60.4640	0.2318	0.3058	8.8742	3.1011E-02	5.4535E-02
MSTRG.372	84.1228	0.7291	0.4029	8.7042	3.3493E-02	5.8405E-02
MSTRG.317	36.3646	-0.4953	0.3235	8.6897	3.3715E-02	5.8758E-02
MSTRG.3927	14.0281	-1.1107	0.5747	8.6611	3.4153E-02	5.9448E-02
MSTRG.5	47.1770	-10.0450	4.2475	8.6071	3.4998E-02	6.0756E-02
MSTRG.4652	7.8114	-1.1401	0.7652	8.4708	3.7221E-02	6.4191E-02
MSTRG.20792	2.3889	1.0519	1.3070	8.4704	3.7227E-02	6.4198E-02
MSTRG.21826	3.2519	0.0463	1.0964	8.4621	3.7367E-02	6.4393E-02
MSTRG.24442	14.3359	-1.5898	0.5637	8.3551	3.9216E-02	6.7178E-02
MSTRG.27087	265.8983	-0.5432	0.1936	8.2145	4.1780E-02	7.1113E-02
MSTRG.3836	236.5046	-0.3757	0.2044	7.8911	4.8317E-02	8.0951E-02
MSTRG.8261	7.6192	0.3828	0.7219	7.7407	5.1686E-02	8.5880E-02
MSTRG.21559	4.6773	-0.8220	0.9183	7.7320	5.1888E-02	8.6168E-02
MSTRG.24353	7.4380	1.4666	0.8679	7.7152	5.2279E-02	8.6758E-02
MSTRG.2357	76.9261	-0.3971	0.2640	7.5996	5.5053E-02	9.0820E-02
MSTRG.441	2.1480	1.3312	1.4415	7.5487	5.6320E-02	9.2699E-02
MSTRG.25085	160.7042	0.8079	0.3053	7.4691	5.8358E-02	9.5667E-02
