Gene identifier	baseMean	log2FoldChange	lfcSE	stat	p-value	p-adjusted
MSTRG.744	2’816.3751	-0.1342	0.1084	52.3192	2.5609E-11	1.4525E-10
MSTRG.16813	3’883.9645	-0.3262	0.1298	52.3188	2.5613E-11	1.4525E-10
MSTRG.2913	147.7544	0.7796	0.2232	52.3122	2.5697E-11	1.4569E-10
ENSG00000214146.3	15.6025	0.9914	0.4796	52.3006	2.5842E-11	1.4648E-10
MSTRG.1597	11’058.9477	-0.2821	0.1191	52.2494	2.6500E-11	1.5018E-10
MSTRG.17967	1’418.2166	-1.1001	0.1877	52.2345	2.6695E-11	1.5124E-10
MSTRG.4742	1’460.2262	-0.0534	0.1016	52.2240	2.6833E-11	1.5199E-10
MSTRG.7987	934.2908	0.2776	0.1334	52.2167	2.6930E-11	1.5250E-10
MSTRG.6246	1’852.6100	0.8877	0.1567	52.1871	2.7323E-11	1.5469E-10
MSTRG.25889	5’450.0922	-0.6445	0.1319	52.1633	2.7644E-11	1.5647E-10
MSTRG.14971	19’104.4715	-0.4625	0.1747	52.1588	2.7706E-11	1.5679E-10
ENSG00000273513.1	10.5165	-7.7863	1.4805	52.1510	2.7811E-11	1.5735E-10
MSTRG.5784	216.9627	1.0568	0.2892	52.1477	2.7856E-11	1.5756E-10
ENSG00000164746.14	121.2950	-2.1524	0.3168	52.1423	2.7931E-11	1.5795E-10
MSTRG.24086	7.9494	-0.6026	0.6726	52.1395	2.7969E-11	1.5813E-10
MSTRG.17271	83.6613	0.9346	0.3209	52.1210	2.8224E-11	1.5953E-10
MSTRG.12314	6’754.6345	0.6496	0.1353	52.1077	2.8409E-11	1.6054E-10
ENSG00000130487.9	7.6580	-1.7097	1.3637	52.1015	2.8496E-11	1.6099E-10
MSTRG.23538	13’555.8415	0.6871	0.1431	52.0771	2.8838E-11	1.6289E-10
MSTRG.4501	139.0033	1.0862	0.2167	52.0562	2.9137E-11	1.6453E-10
MSTRG.28179	2’241.9253	-0.8904	0.1387	52.0232	2.9612E-11	1.6718E-10
MSTRG.799	10’843.5523	-0.0339	0.0947	52.0108	2.9792E-11	1.6815E-10
MSTRG.19932	4’455.1425	1.0169	0.1490	51.9995	2.9958E-11	1.6905E-10
MSTRG.26977	575.4796	0.2412	0.1602	51.9839	3.0188E-11	1.7031E-10
MSTRG.4793	12’475.5429	-0.3612	0.0831	51.9347	3.0925E-11	1.7443E-10
MSTRG.1172	17.5445	7.8094	1.3469	51.9308	3.0985E-11	1.7472E-10
MSTRG.2259	8’409.5072	0.1831	0.1517	51.9268	3.1046E-11	1.7503E-10
MSTRG.26428	465.3338	1.1854	0.2547	51.9120	3.1272E-11	1.7626E-10
